Gene                 p_val  avg_logFC pct.1 pct.2    p_val_adj
Tcn2          3.635693e-10 -0.5935326 0.172 0.421 4.062524e-06
Sox4          6.074399e-10 -0.6370424 0.122 0.347 6.787533e-06
Stmn2         8.098364e-10  0.6201369 0.308 0.135 9.049111e-06
Vamp5         1.025249e-09 -0.4853669 0.285 0.538 1.145613e-05
Scarb1        1.203049e-09  0.4468384 0.579 0.409 1.344287e-05
Ccl21a        1.548796e-09 -0.3599619 0.778 0.863 1.730624e-05
Ace           1.575704e-09 -0.5894927 0.253 0.470 1.760692e-05
Plat          2.552560e-09 -0.6937127 0.068 0.262 2.852231e-05
Ivns1abp      3.479021e-09 -0.6346502 0.100 0.303 3.887458e-05
Tmem176b      4.215656e-09 -0.5015992 0.335 0.538 4.710574e-05
Dnaja1        5.560880e-09  0.2767648 0.729 0.645 6.213727e-05
Tubb2a        5.775100e-09  0.5356441 0.434 0.276 6.453096e-05
Jun           6.874358e-09  0.2537240 0.819 0.733 7.681407e-05
Calcrl        8.101928e-09 -0.6066531 0.158 0.368 9.053094e-05
Meox1         8.139528e-09 -0.5664502 0.100 0.304 9.095109e-05
Btg2          9.283106e-09  0.3204659 0.724 0.571 1.037294e-04
Sema3f        9.644422e-09 -0.6410492 0.068 0.252 1.077668e-04
Gja4          1.324368e-08 -0.7006395 0.095 0.280 1.479849e-04
Slc29a1       1.485323e-08 -0.5644044 0.122 0.325 1.659700e-04
Kctd12        1.553736e-08 -0.6341573 0.104 0.296 1.736144e-04
Upp1          2.066342e-08 -0.6407658 0.072 0.251 2.308931e-04
Arl2bp        2.212567e-08  0.6149643 0.276 0.135 2.472323e-04
Stab1         2.387546e-08 -0.5392594 0.208 0.428 2.667844e-04
Anxa3         3.850290e-08  0.4175909 0.534 0.364 4.302314e-04
Rnd1          4.504804e-08  0.4406479 0.525 0.376 5.033668e-04
Degs1         4.622387e-08 -0.4714711 0.213 0.437 5.165055e-04
Sash1         4.826201e-08 -0.6054186 0.095 0.278 5.392797e-04
Nfat5         6.234407e-08 -0.5806383 0.136 0.332 6.966327e-04
Orai1         7.323870e-08 -0.5170735 0.163 0.376 8.183692e-04
Arl4a         8.095180e-08 -0.4946265 0.167 0.380 9.045554e-04
Ucp2          8.372964e-08 -0.5485832 0.158 0.356 9.355950e-04
Tmcc3         1.291669e-07  0.5688504 0.299 0.157 1.443311e-03
Abcg2         1.331080e-07  0.5702581 0.326 0.186 1.487349e-03
Cdc42ep3      1.343184e-07  0.5581726 0.335 0.186 1.500873e-03
Comt          1.423826e-07 -0.4579397 0.190 0.410 1.590984e-03
Anp32a        1.462458e-07  0.3230633 0.624 0.541 1.634150e-03
Nxn           1.653299e-07 -0.5263833 0.131 0.316 1.847396e-03
Pomp          1.781656e-07 -0.4322369 0.276 0.499 1.990822e-03
Hspa12b       1.966922e-07  0.5256928 0.335 0.194 2.197839e-03
Chst15        2.322134e-07 -0.5840207 0.090 0.258 2.594752e-03
Fermt2        2.476871e-07  0.4279233 0.471 0.339 2.767656e-03
Ablim3        2.583363e-07  0.5613366 0.267 0.134 2.886650e-03
Ppp1r2        4.657031e-07  0.2801619 0.661 0.567 5.203766e-03
Cd300lg       4.663111e-07  0.4162489 0.502 0.376 5.210560e-03
Atpif1        5.664030e-07 -0.4298771 0.258 0.454 6.328987e-03
Mcf2l         6.995656e-07  0.4266475 0.398 0.248 7.816946e-03
Fryl          9.100810e-07  0.4713713 0.344 0.202 1.016924e-02
Akap2         9.535377e-07  0.5680417 0.262 0.139 1.065483e-02
Prr13         1.060362e-06  0.4613421 0.371 0.238 1.184849e-02
Ccnd1         1.111791e-06 -0.5206336 0.095 0.255 1.242315e-02
Fam43a        1.164181e-06  0.3753174 0.525 0.409 1.300856e-02
Dysf          1.202753e-06 -0.4849905 0.090 0.254 1.343956e-02
Cdkn1a        1.357014e-06  0.3828415 0.507 0.368 1.516327e-02
Tgfb1         1.389466e-06 -0.4375373 0.222 0.417 1.552589e-02
Hey1          1.599397e-06  0.5023434 0.335 0.206 1.787166e-02
Itpkb         1.605028e-06  0.3315309 0.552 0.400 1.793459e-02
Kitl          2.138240e-06  0.4394595 0.398 0.266 2.389269e-02
Nck1          2.249565e-06  0.4250122 0.389 0.259 2.513664e-02
Atp2b4        2.408064e-06 -0.5161844 0.113 0.274 2.690770e-02
Nrp1          2.456518e-06  0.2523078 0.805 0.588 2.744913e-02
Clec1a        2.815606e-06 -0.5215820 0.100 0.252 3.146158e-02
Pura          2.872966e-06 -0.3987859 0.176 0.365 3.210252e-02
Irf7          3.370677e-06  0.5014566 0.258 0.135 3.766395e-02
Vat1          3.687690e-06 -0.4205281 0.231 0.417 4.120624e-02
Lamb1         4.476724e-06 -0.4618788 0.127 0.291 5.002291e-02
Rhoj          5.098980e-06 -0.4080605 0.235 0.422 5.697600e-02
Sat1          5.503337e-06  0.3501534 0.520 0.412 6.149429e-02
Gadd45g       5.942649e-06  0.3191453 0.588 0.487 6.640316e-02
Grn           6.168788e-06 -0.3729512 0.249 0.459 6.893004e-02
AU021092      6.793353e-06 -0.4757921 0.109 0.260 7.590893e-02
Itga6         6.829507e-06  0.3852966 0.412 0.280 7.631291e-02
Cnbp          7.175965e-06  0.2505887 0.593 0.527 8.018423e-02
Ppfibp1       7.274800e-06 -0.4495595 0.163 0.328 8.128861e-02
Esm1          7.441374e-06 -0.5437781 0.158 0.304 8.314991e-02
Ifi27l2a      7.748708e-06 -0.4423099 0.158 0.316 8.658406e-02
Mmrn2         8.504959e-06 -0.3086562 0.507 0.718 9.503441e-02
Ahnak         8.849546e-06  0.2584762 0.633 0.570 9.888483e-02
Rnaset2b      9.462208e-06 -0.3968784 0.176 0.348 1.057307e-01
Prex2         1.005090e-05  0.3177312 0.548 0.461 1.123087e-01
Unc45b        1.016793e-05  0.4309920 0.335 0.212 1.136165e-01
Gstm1         1.129686e-05  0.4057682 0.394 0.279 1.262311e-01
Cnn3          1.205957e-05 -0.3189770 0.362 0.572 1.347537e-01
Limch1        1.219785e-05  0.4596955 0.299 0.177 1.362987e-01
Cdc42ep1      1.291383e-05  0.4389440 0.308 0.186 1.442991e-01
Mbnl2         1.297400e-05  0.3541853 0.484 0.372 1.449715e-01
S100a1        1.344519e-05  0.4783341 0.339 0.227 1.502366e-01
Plpp1         2.256145e-05 -0.3300864 0.262 0.446 2.521016e-01
11-Sep        2.777401e-05 -0.4297344 0.113 0.254 3.103468e-01
Ssb           3.312337e-05 -0.3618632 0.195 0.361 3.701206e-01
Adam10        3.981354e-05 -0.3489900 0.127 0.275 4.448765e-01
Ctsb          4.174165e-05 -0.2991153 0.416 0.619 4.664212e-01
Atf3          4.443372e-05  0.2761242 0.597 0.525 4.965023e-01
Gramd1a       4.604537e-05 -0.3229892 0.176 0.344 5.145110e-01
Etl4          5.161534e-05  0.4291004 0.290 0.179 5.767498e-01
Rpn2          5.583194e-05 -0.3204955 0.258 0.442 6.238661e-01
Calu          6.243031e-05 -0.4153534 0.131 0.267 6.975962e-01
Eif5          6.295699e-05 -0.3608879 0.167 0.320 7.034814e-01
Myadm         6.577733e-05  0.3800698 0.416 0.320 7.349958e-01
Cyp4b1        7.008939e-05 -0.3918653 0.267 0.389 7.831789e-01
Slc38a2       7.923443e-05 -0.3521641 0.154 0.304 8.853655e-01
Glud1         8.109258e-05 -0.3429291 0.158 0.312 9.061285e-01
Il6st         8.314870e-05 -0.3630450 0.190 0.341 9.291035e-01
H2-Q7         8.921765e-05 -0.2732397 0.434 0.628 9.969180e-01
Cd34          9.146920e-05  0.2593059 0.593 0.477 1.000000e+00
Ndufa13       9.707585e-05 -0.2894852 0.276 0.473 1.000000e+00
Pam           9.748068e-05 -0.3888581 0.122 0.254 1.000000e+00
Vamp8         9.815397e-05  0.3451692 0.385 0.276 1.000000e+00
B4galt4       1.007870e-04  0.4351578 0.290 0.187 1.000000e+00
Oat           1.348089e-04  0.4238583 0.258 0.161 1.000000e+00
Myct1         1.899657e-04  0.2543522 0.534 0.471 1.000000e+00
Pdgfb         2.127936e-04  0.3649605 0.290 0.181 1.000000e+00
Eva1b         2.137484e-04 -0.3036357 0.240 0.400 1.000000e+00
Rbms1         2.218531e-04 -0.2733038 0.403 0.592 1.000000e+00
H2-Q6         2.287030e-04 -0.3298590 0.244 0.404 1.000000e+00
Ifi203        2.334921e-04  0.3417005 0.398 0.287 1.000000e+00
Fkbp4         2.521704e-04  0.2696352 0.475 0.401 1.000000e+00
Isg15         2.641546e-04  0.3385603 0.398 0.308 1.000000e+00
Nfia          2.703490e-04 -0.3777850 0.176 0.305 1.000000e+00
Canx          2.750508e-04 -0.2905168 0.258 0.418 1.000000e+00
Pitpna        2.913854e-04 -0.3398909 0.140 0.268 1.000000e+00
Clu           2.957894e-04 -0.3816545 0.204 0.333 1.000000e+00
Tm9sf2        2.998376e-04 -0.2830669 0.140 0.275 1.000000e+00
Pde2a         3.313783e-04 -0.2622678 0.249 0.416 1.000000e+00
Prelid1       3.585932e-04 -0.3188072 0.154 0.292 1.000000e+00
Ndrg1         4.151121e-04 -0.2595180 0.308 0.466 1.000000e+00
Nid1          4.278775e-04 -0.3648176 0.158 0.284 1.000000e+00
ND2           4.299346e-04 -0.2720866 0.434 0.610 1.000000e+00
Lrrc58        4.388789e-04 -0.2771877 0.285 0.444 1.000000e+00
Ndel1         4.561053e-04  0.4015302 0.285 0.198 1.000000e+00
Elovl5        4.976672e-04  0.3532738 0.353 0.259 1.000000e+00
Tmem255b      4.989451e-04  0.3298197 0.353 0.259 1.000000e+00
Pls3          5.725412e-04  0.3290770 0.416 0.320 1.000000e+00
Tra2b         5.737584e-04  0.2590620 0.498 0.429 1.000000e+00
Plcb1         6.044697e-04 -0.3392977 0.235 0.355 1.000000e+00
Ccnd2         7.050954e-04 -0.3298794 0.235 0.365 1.000000e+00
Sp100         7.199970e-04  0.2955432 0.412 0.320 1.000000e+00
Camk1         7.216354e-04 -0.3644268 0.154 0.268 1.000000e+00
Mcam          7.594715e-04 -0.3610853 0.167 0.280 1.000000e+00
Dennd5b       7.919188e-04  0.3205833 0.281 0.182 1.000000e+00
Pqlc1         8.030607e-04 -0.3403323 0.149 0.270 1.000000e+00
1110038F14Rik 8.544970e-04  0.3234528 0.299 0.203 1.000000e+00
Dab2ip        9.503065e-04  0.3227575 0.308 0.215 1.000000e+00
Rps6ka3       9.948267e-04 -0.2684412 0.131 0.254 1.000000e+00
Tram1         1.037768e-03 -0.2654135 0.167 0.292 1.000000e+00
Pdlim1        1.099723e-03  0.2873010 0.448 0.389 1.000000e+00
Sh3bgrl       1.151996e-03  0.3306104 0.367 0.282 1.000000e+00
Lims1         1.222672e-03 -0.2502708 0.226 0.359 1.000000e+00
Slc50a1       1.264168e-03  0.3319128 0.344 0.267 1.000000e+00
Ncl           1.274734e-03 -0.2523501 0.217 0.360 1.000000e+00
Ctnna1        1.275526e-03 -0.2511175 0.348 0.507 1.000000e+00
Wars          1.492123e-03 -0.2814735 0.213 0.333 1.000000e+00
Tmem204       1.531698e-03  0.3099400 0.403 0.325 1.000000e+00
Sap18         1.561754e-03 -0.2629590 0.204 0.333 1.000000e+00
Mndal         1.726018e-03  0.2898307 0.389 0.301 1.000000e+00
Rtp4          1.801174e-03  0.3338667 0.312 0.234 1.000000e+00
Pxn           1.882767e-03 -0.2818627 0.140 0.251 1.000000e+00
Afap1l1       2.115171e-03  0.3162411 0.348 0.275 1.000000e+00
Fhl1          2.402837e-03  0.3336761 0.258 0.183 1.000000e+00
Atp2b1        2.627523e-03 -0.2506308 0.186 0.305 1.000000e+00
Ddit4         2.647909e-03  0.2776837 0.357 0.276 1.000000e+00
Xaf1          2.970696e-03  0.2648403 0.385 0.307 1.000000e+00
Sult1a1       3.234634e-03  0.3362413 0.290 0.214 1.000000e+00
Ddah2         3.304766e-03 -0.2553002 0.190 0.305 1.000000e+00
Lama4         3.352674e-03 -0.2726806 0.249 0.368 1.000000e+00
Bvht          3.853490e-03  0.3181969 0.281 0.210 1.000000e+00
Ceacam1       4.532408e-03  0.2908735 0.267 0.187 1.000000e+00
Cltc          4.899720e-03 -0.2616332 0.181 0.288 1.000000e+00
Picalm        5.393420e-03  0.2938062 0.312 0.239 1.000000e+00
Foxo1         5.880749e-03 -0.2510050 0.181 0.280 1.000000e+00
Ets2          6.390628e-03  0.2819761 0.403 0.344 1.000000e+00
Cltb          8.088843e-03  0.2760983 0.416 0.385 1.000000e+00
Ptp4a3        8.541570e-03  0.2672546 0.376 0.316 1.000000e+00
Lipe          1.032186e-02  0.2839860 0.262 0.195 1.000000e+00
Tmem140       1.037671e-02  0.3136446 0.312 0.255 1.000000e+00
Tmod3         1.112625e-02  0.2880539 0.317 0.263 1.000000e+00
Parp14        1.444577e-02  0.2740049 0.271 0.206 1.000000e+00
Arid5b        1.480006e-02  0.2534020 0.335 0.272 1.000000e+00
Map4          1.855445e-02  0.2579980 0.321 0.263 1.000000e+00
Socs2         2.020761e-02  0.2698012 0.353 0.309 1.000000e+00
2-Mar         2.069013e-02  0.3016910 0.303 0.259 1.000000e+00
Dst           2.886482e-02  0.2503932 0.258 0.203 1.000000e+00
Ehd1          3.135515e-02  0.2516468 0.271 0.216 1.000000e+00
Pnkd          3.187304e-02  0.2595059 0.285 0.246 1.000000e+00
Gemin7        3.689954e-02  0.2855634 0.276 0.234 1.000000e+00
Gpr146        5.388639e-02  0.2613387 0.262 0.220 1.000000e+00
Fkbp3         5.629177e-02  0.2684337 0.267 0.228 1.000000e+00
