Gene                  p_val  avg_logFC pct.1 pct.2     p_val_adj
Fcgrt          2.030249e-84 -0.2908323 0.894 0.910  2.277533e-80
Pltp           3.502865e-84  0.6584143 0.264 0.038  3.929514e-80
Cyr61          3.936456e-84  0.7329434 0.466 0.139  4.415916e-80
Cd36           5.790968e-82 -0.8303968 0.333 0.614  6.496308e-78
Crip1          2.597568e-80  0.6049280 0.679 0.283  2.913952e-76
Klf9           4.779165e-78  0.5933383 0.678 0.282  5.361267e-74
Lbp            1.947336e-77  0.5984301 0.683 0.282  2.184521e-73
Stab1          3.166400e-77 -0.4412777 0.728 0.815  3.552068e-73
Icam1          5.110299e-77  0.6573244 0.614 0.250  5.732734e-73
Wnt2           9.554745e-75  0.4782007 0.963 0.546  1.071851e-70
Palm           4.513297e-74  0.5907330 0.293 0.056  5.063016e-70
Msr1           1.149041e-73 -1.1766772 0.075 0.398  1.288994e-69
Jak1           2.286503e-73 -0.5042338 0.595 0.739  2.564999e-69
Qsox1          2.120271e-71  0.5796283 0.557 0.199  2.378520e-67
Cd200          5.108561e-71  0.5750553 0.307 0.064  5.730784e-67
Serpinb6b      5.771392e-71  0.6368790 0.393 0.110  6.474347e-67
Jam2           1.315473e-70  0.4052693 0.962 0.628  1.475698e-66
Hpse           3.767807e-69  0.5623304 0.537 0.191  4.226725e-65
Il1r1          7.317131e-69  0.5900738 0.327 0.077  8.208357e-65
Thbd           1.250333e-68  0.5314543 0.745 0.358  1.402623e-64
Heg1           5.519361e-68  0.5271795 0.733 0.346  6.191619e-64
Ramp3          1.871281e-67  0.6132764 0.424 0.130  2.099203e-63
Lmcd1          2.058473e-67  0.5683140 0.376 0.101  2.309195e-63
Tmem106a       2.467915e-67 -0.6636111 0.404 0.622  2.768508e-63
Tspan5         5.796797e-67  0.5394242 0.261 0.049  6.502846e-63
Lamp2          1.019279e-66 -0.2868460 0.867 0.868  1.143428e-62
Hpgd           1.218564e-65 -0.7851218 0.282 0.566  1.366985e-61
Tgm2           4.074114e-65  0.4475350 0.859 0.481  4.570341e-61
Lims2          6.527602e-64  0.5702676 0.536 0.204  7.322664e-60
Ets1           1.201443e-63 -0.6604500 0.382 0.602  1.347778e-59
Plxnd1         3.048552e-63 -0.7078064 0.333 0.576  3.419866e-59
Nqo1           3.936244e-63  0.5377627 0.275 0.059  4.415678e-59
Cmtm8          1.169420e-62 -0.5103204 0.524 0.690  1.311855e-58
Clec1b         2.924801e-62 -0.7985571 0.252 0.520  3.281042e-58
Lyve1          7.394201e-62 -1.1070014 0.083 0.369  8.294815e-58
Tm4sf1         1.497497e-61 -0.2765846 0.905 0.884  1.679893e-57
Ndufa8         4.271126e-61  0.4010146 0.891 0.568  4.791349e-57
Pxdc1          4.448041e-59  0.5082305 0.329 0.087  4.989812e-55
Creg1          2.888638e-58  0.5239502 0.343 0.096  3.240474e-54
Fmo1           1.167568e-57  0.5060577 0.524 0.200  1.309777e-53
Slc52a3        2.801213e-57  0.5346200 0.294 0.074  3.142401e-53
Tmem88         6.125501e-56 -0.6334860 0.372 0.580  6.871587e-52
Rpa1           3.912450e-55  0.5236768 0.435 0.152  4.388986e-51
Ltbp4          1.283275e-54 -0.5272839 0.547 0.663  1.439578e-50
S100a10        1.604915e-54  0.2548798 0.974 0.790  1.800394e-50
Emp3           1.893903e-54  0.5064755 0.517 0.200  2.124581e-50
Jup            3.270772e-54  0.4884935 0.406 0.136  3.669151e-50
Anxa3          8.638929e-54  0.4558630 0.739 0.376  9.691150e-50
Pdzd2          3.890046e-53  0.5071550 0.277 0.071  4.363853e-49
Calcrl         5.345410e-53  0.4209329 0.838 0.491  5.996481e-49
Rarb           1.575739e-51  0.4887488 0.399 0.135  1.767664e-47
Csrp2          2.085710e-51  0.4221749 0.809 0.461  2.339749e-47
Degs1          3.912059e-51 -0.2646203 0.864 0.858  4.388548e-47
Clec14a        1.591558e-50 -0.3030742 0.802 0.808  1.785409e-46
Lgals3bp       2.054465e-50 -0.5661833 0.403 0.600  2.304698e-46
Plac8          2.469919e-49  0.4324891 0.513 0.200  2.770755e-45
Actn1          3.025320e-49  0.4649881 0.296 0.083  3.393804e-45
Pgm5           2.813097e-48  0.4612674 0.280 0.077  3.155732e-44
Mgst1          3.356145e-48  0.4784828 0.514 0.212  3.764923e-44
Hspb1          1.739441e-47  0.4153854 0.770 0.445  1.951305e-43
Gas6           3.183804e-46  0.3746239 0.894 0.529  3.571592e-42
Ap2s1          7.782009e-46 -0.3452962 0.670 0.712  8.729857e-42
Dab2           2.519362e-45 -0.3907439 0.639 0.706  2.826220e-41
Aass           4.100101e-45 -0.8258263 0.100 0.336  4.599493e-41
Il33           2.017120e-44  0.4634116 0.311 0.099  2.262805e-40
Fbln2          3.481770e-44  0.4251077 0.283 0.083  3.905849e-40
Flt4           1.012611e-42 -0.6005763 0.333 0.523  1.135947e-38
Rasgrp3        1.367434e-42 -0.6535220 0.252 0.463  1.533987e-38
Il4ra          2.832783e-42  0.4287018 0.496 0.212  3.177816e-38
Tle1           5.745712e-42  0.4278984 0.415 0.161  6.445539e-38
Fabp5          7.357121e-42 -0.4369237 0.569 0.652  8.253218e-38
Car8           8.220638e-42  0.3506472 0.890 0.579  9.221912e-38
Adam15         1.070340e-41  0.4253105 0.513 0.224  1.200708e-37
Smpdl3a        1.913817e-41  0.4148483 0.602 0.280  2.146920e-37
Ecm1           4.091176e-41  0.4109086 0.643 0.321  4.589481e-37
Cav1           5.645375e-41  0.4315385 0.339 0.119  6.332981e-37
Il1a           9.852778e-41 -0.8114931 0.084 0.301  1.105285e-36
Anxa2          1.076513e-40  0.3455411 0.859 0.547  1.207632e-36
Itga9          1.223712e-40 -0.8239259 0.098 0.313  1.372761e-36
Ripply3        1.909851e-40  0.4187064 0.552 0.259  2.142470e-36
Lfng           1.997052e-40  0.4438507 0.452 0.192  2.240293e-36
Ier3           3.625213e-40  0.4487320 0.547 0.268  4.066764e-36
Guk1           5.011793e-40  0.4252717 0.375 0.141  5.622230e-36
Plxnc1         5.248420e-40 -0.5794802 0.350 0.523  5.887678e-36
Manf           5.533182e-40 -0.2692497 0.797 0.810  6.207124e-36
Cmip           2.476731e-39  0.4129567 0.421 0.171  2.778397e-35
Arl4c          5.050002e-39  0.4275804 0.251 0.076  5.665093e-35
Mrrf           2.697100e-38  0.4069117 0.346 0.127  3.025606e-34
Cfh            1.781840e-37  0.4077076 0.547 0.257  1.998869e-33
Enpep          3.775735e-37 -0.7796306 0.089 0.292  4.235619e-33
Slc43a2        5.218243e-37 -0.7710182 0.121 0.327  5.853825e-33
Hes1           9.558599e-37 -0.5987846 0.373 0.523  1.072284e-32
Nqo2           1.586263e-36 -0.7132306 0.144 0.346  1.779469e-32
Glul           2.032311e-36 -0.5003402 0.437 0.549  2.279846e-32
Prr13          2.250139e-36  0.3646555 0.750 0.447  2.524206e-32
Foxp1          2.665563e-36  0.3565471 0.710 0.383  2.990228e-32
Sema6a         3.391569e-36 -0.5601656 0.335 0.506  3.804662e-32
Tshz2          6.137881e-36  0.3416830 0.793 0.456  6.885475e-32
Rhoj           2.779117e-35  0.3682647 0.608 0.303  3.117614e-31
Tfpi           3.675084e-35 -0.4271696 0.518 0.605  4.122709e-31
Id2            6.521190e-35  0.3200478 0.842 0.568  7.315471e-31
Ogt            2.482101e-34  0.3614224 0.554 0.268  2.784421e-30
Gimap4         2.921967e-34 -0.2789108 0.698 0.718  3.277863e-30
Mt2            1.249781e-33 -0.7541260 0.111 0.304  1.402004e-29
Emilin1        1.795353e-33 -0.4686972 0.419 0.556  2.014027e-29
Ccnd1          1.920075e-33 -0.6990253 0.146 0.333  2.153940e-29
Ldb2           2.232530e-33 -0.7236850 0.120 0.307  2.504452e-29
Hsph1          3.363505e-33  0.3566888 0.311 0.116  3.773180e-29
Btnl9          5.558411e-32 -0.6860267 0.166 0.357  6.235425e-28
Cpne2          5.964273e-32 -0.6122716 0.235 0.410  6.690722e-28
Frmd4a         5.966525e-32  0.3667649 0.356 0.145  6.693248e-28
Agpat5         8.237209e-32 -0.6312904 0.233 0.405  9.240501e-28
Kcnb1          1.256429e-31  0.3615559 0.354 0.143  1.409462e-27
Snrk           1.412545e-31 -0.3062105 0.643 0.688  1.584594e-27
S100a11        3.049087e-31  0.3308851 0.787 0.458  3.420466e-27
Efna1          4.453076e-31 -0.6313879 0.208 0.382  4.995461e-27
Rbm18          4.971383e-31  0.3786071 0.381 0.165  5.576898e-27
Col13a1        2.605687e-30 -0.5403620 0.300 0.462  2.923059e-26
Pfkl           3.486455e-30  0.3592935 0.322 0.129  3.911105e-26
Ece1           5.332028e-30  0.3262854 0.747 0.450  5.981469e-26
Arl4d          1.945830e-29  0.3514111 0.384 0.170  2.182832e-25
Ptp4a3         2.014930e-29 -0.5994599 0.182 0.360  2.260349e-25
Ninj1          2.543645e-29  0.3629965 0.552 0.284  2.853461e-25
Iqgap1         4.377657e-29  0.3286172 0.376 0.165  4.910856e-25
Ehd4           5.254900e-29  0.3149029 0.428 0.199  5.894946e-25
Ntf3           7.467794e-29  0.3739459 0.261 0.098  8.377371e-25
Serpina3g      1.388645e-28  0.3292175 0.766 0.511  1.557782e-24
Bmyc           1.553545e-28  0.3582467 0.332 0.139  1.742767e-24
Oaz2           2.312027e-28 -0.3840387 0.506 0.570  2.593632e-24
Sgk1           2.760997e-28 -0.2694460 0.707 0.705  3.097287e-24
Sgpp1          2.852411e-28 -0.5620741 0.262 0.415  3.199835e-24
Pla2g16        2.960453e-28  0.3338680 0.373 0.163  3.321036e-24
Mcfd2          3.547955e-28  0.3129581 0.780 0.488  3.980096e-24
Akr1b8         3.822264e-28 -0.6019392 0.217 0.375  4.287816e-24
Ahnak          5.281318e-28  0.3259892 0.444 0.211  5.924583e-24
Slc16a2        1.593881e-27  0.3212387 0.340 0.146  1.788015e-23
Lmo2           1.681088e-27  0.3299832 0.636 0.342  1.885844e-23
Nostrin        3.358465e-27 -0.5969670 0.208 0.363  3.767526e-23
Itpkb          1.270939e-26 -0.5048665 0.333 0.460  1.425739e-22
Pomp           1.393453e-26 -0.2656046 0.654 0.658  1.563175e-22
Mxra8          2.856833e-26  0.3203108 0.539 0.279  3.204795e-22
Ddah1          4.718963e-26  0.3236961 0.302 0.127  5.293733e-22
Baiap2         6.525719e-26  0.3259729 0.308 0.131  7.320552e-22
Ets2           7.712559e-26 -0.5285902 0.285 0.425  8.651949e-22
Smim14         1.670796e-25  0.3023805 0.514 0.264  1.874299e-21
Tnfsf10        2.625353e-25  0.3150761 0.428 0.210  2.945121e-21
Crim1          4.671897e-25  0.3136068 0.625 0.351  5.240934e-21
Mertk          6.184836e-25 -0.6292297 0.126 0.283  6.938149e-21
Socs2          6.663265e-25  0.3380516 0.282 0.119  7.474851e-21
Ahr            1.679383e-24  0.2983903 0.493 0.252  1.883932e-20
Gmfg           1.725566e-24 -0.6089973 0.122 0.277  1.935740e-20
1700025G04Rik  1.991338e-24  0.3342643 0.264 0.108  2.233883e-20
Slc40a1        2.199230e-24 -0.6055536 0.152 0.310  2.467096e-20
Olfm1          4.220352e-24  0.3305366 0.279 0.120  4.734390e-20
Gm8730         5.411329e-24  0.3020493 0.698 0.419  6.070428e-20
Fosb           8.179082e-24  0.3285316 0.425 0.220  9.175294e-20
Snx5           8.496750e-24 -0.3928106 0.444 0.527  9.531655e-20
Zyx            1.020326e-23  0.2963967 0.421 0.206  1.144602e-19
Dusp3          1.310907e-23 -0.3343838 0.547 0.593  1.470575e-19
Tspan15        1.854980e-23 -0.5868981 0.152 0.302  2.080917e-19
Cbfa2t3        4.115403e-23  0.2964748 0.493 0.259  4.616660e-19
Serpinh1       4.772040e-23  0.2560773 0.882 0.598  5.353274e-19
Klhl5          5.110684e-23  0.2849127 0.432 0.214  5.733166e-19
Tspan3         7.762387e-23  0.3043551 0.328 0.150  8.707845e-19
Tgfb1i1        9.460053e-23  0.2857968 0.368 0.175  1.061229e-18
Mndal          1.345503e-22 -0.3976859 0.436 0.523  1.509385e-18
Dusp23         1.568288e-22  0.2919353 0.253 0.105  1.759306e-18
Parva          3.298617e-22  0.2848963 0.253 0.105  3.700388e-18
Prdx3          3.664842e-22  0.2984708 0.258 0.109  4.111220e-18
Gbp2           7.628877e-22  0.2997427 0.311 0.143  8.558074e-18
Arrb2          8.022136e-22 -0.5627966 0.177 0.313  8.999232e-18
Gch1           1.175811e-21  0.2750841 0.258 0.109  1.319025e-17
Neurl3         2.835073e-21  0.2734190 0.457 0.239  3.180385e-17
Tpi1           2.910546e-21  0.2948116 0.436 0.227  3.265051e-17
1110008F13Rik  3.344256e-21  0.2815010 0.581 0.321  3.751587e-17
Ppdpf          4.551408e-21  0.2824556 0.417 0.212  5.105769e-17
Ly96           7.911828e-21 -0.3635708 0.446 0.520  8.875489e-17
Blvrb          1.284384e-20 -0.4210222 0.356 0.450  1.440822e-16
Snx2           1.293941e-20 -0.3109835 0.534 0.580  1.451543e-16
Cd84           1.686405e-20 -0.5490835 0.173 0.310  1.891809e-16
Lpar6          1.808211e-20 -0.3162495 0.553 0.605  2.028451e-16
Pmp22          2.035855e-20  0.3147234 0.295 0.139  2.283822e-16
Ergic3         2.561792e-20  0.2617962 0.524 0.285  2.873818e-16
Pde2a          3.393507e-20  0.2502110 0.870 0.579  3.806836e-16
Plscr4         4.057831e-20  0.2632770 0.367 0.180  4.552075e-16
Eno1           4.505793e-20  0.2703390 0.464 0.246  5.054599e-16
Ifi203         4.633054e-20 -0.3936911 0.398 0.492  5.197360e-16
Col4a1         2.025169e-19 -0.3727452 0.437 0.518  2.271834e-15
Bin1           2.180844e-19  0.2749832 0.297 0.140  2.446471e-15
Gpx1           2.574979e-19  0.2666427 0.749 0.473  2.888612e-15
Cdc42se2       3.962156e-19  0.2580175 0.328 0.160  4.444747e-15
Serpinb9       8.484677e-19  0.2533394 0.275 0.127  9.518111e-15
Camk2n1        9.171637e-19  0.2621781 0.432 0.231  1.028874e-14
Ntn4           1.201904e-18 -0.5930694 0.154 0.280  1.348295e-14
Prdx6          1.387080e-18  0.2613097 0.409 0.213  1.556027e-14
Spr            2.290953e-18  0.2581305 0.401 0.211  2.569992e-14
Myo10          2.545463e-18 -0.5447853 0.163 0.288  2.855501e-14
Klf10          3.016718e-18  0.2666492 0.310 0.154  3.384154e-14
Smco4          5.061036e-18 -0.2936480 0.515 0.573  5.677470e-14
Sash1          1.133816e-17 -0.4137301 0.334 0.424  1.271915e-13
Smad6          3.278811e-17  0.2620973 0.556 0.339  3.678171e-13
Sdf2l1         6.987181e-17 -0.3907737 0.359 0.448  7.838219e-13
Chst15         9.784574e-17 -0.4868346 0.220 0.328  1.097633e-12
Rnase4         9.983667e-17  0.2511843 0.471 0.267  1.119968e-12
Fdx1           1.827238e-16  0.2503241 0.279 0.137  2.049796e-12
Klf7           1.085329e-15 -0.2659378 0.578 0.583  1.217522e-11
Cltc           1.154458e-15 -0.3323944 0.455 0.493  1.295071e-11
Slc9a3r1       4.169219e-15 -0.4626684 0.153 0.263  4.677029e-11
Fyn            7.752816e-15 -0.3037962 0.452 0.497  8.697109e-11
Sft2d1         1.371470e-14 -0.3448353 0.412 0.457  1.538515e-10
Npl            1.509353e-14 -0.4310525 0.231 0.327  1.693193e-10
Cd302          1.869705e-14 -0.2806493 0.514 0.533  2.097435e-10
Raph1          4.567993e-14 -0.4358855 0.264 0.354  5.124375e-10
Rasgrp2        9.498857e-14 -0.4387411 0.209 0.310  1.065582e-09
Efnb1          1.510465e-13 -0.3883897 0.457 0.470  1.694439e-09
Hspg2          3.137685e-13 -0.2662941 0.570 0.565  3.519855e-09
Dpp4           6.210837e-13 -0.2605675 0.545 0.560  6.967318e-09
Nptn           1.197293e-12 -0.3596085 0.338 0.401  1.343123e-08
Peak1          2.010876e-12 -0.3833642 0.316 0.381  2.255801e-08
Clec1a         3.313862e-12 -0.3916508 0.271 0.351  3.717491e-08
Cdc42ep2       3.798679e-12 -0.2790572 0.443 0.483  4.261358e-08
Marcks         5.207051e-12 -0.2525331 0.536 0.549  5.841270e-08
Reep3          1.028663e-11 -0.3326721 0.361 0.414  1.153954e-07
Tbxa2r         1.069416e-11 -0.3835078 0.280 0.357  1.199671e-07
Ralgapa2       3.817370e-11 -0.3884063 0.256 0.329  4.282325e-07
AW112010       8.852001e-11 -0.3160283 0.425 0.456  9.930175e-07
Rgl1           9.417715e-11 -0.3571846 0.289 0.354  1.056479e-06
Mgat1          2.305694e-10 -0.2892729 0.424 0.452  2.586528e-06
Vsir           6.050112e-10 -0.3208561 0.364 0.411  6.787016e-06
Nt5c3          6.187551e-10 -0.3655628 0.289 0.345  6.941194e-06
Nid1           1.363442e-09 -0.3680569 0.268 0.332  1.529509e-05
Galnt18        1.625136e-09 -0.3604323 0.182 0.262  1.823077e-05
1110038F14Rik  2.628629e-09 -0.2993574 0.353 0.394  2.948796e-05
Mylip          2.788402e-09 -0.3479845 0.278 0.336  3.128029e-05
Mtss1          4.455198e-09 -0.3691826 0.196 0.268  4.997841e-05
Sox18          7.570659e-09 -0.3100990 0.340 0.381  8.492765e-05
Hdac1          7.884146e-09 -0.2585695 0.452 0.457  8.844435e-05
Hmox2          8.023515e-09 -0.3314588 0.290 0.338  9.000779e-05
Col4a2         9.632092e-09 -0.3178031 0.297 0.352  1.080528e-04
Sox17          1.722981e-08 -0.3593122 0.213 0.280  1.932840e-04
Chst7          1.809245e-08 -0.3575112 0.195 0.264  2.029611e-04
Psen2          2.487468e-08 -0.2866295 0.400 0.427  2.790442e-04
Armcx1         6.199224e-08 -0.3550579 0.201 0.264  6.954290e-04
C5ar2          6.640103e-08 -0.3595683 0.198 0.265  7.448867e-04
Cald1          8.892895e-08 -0.2961588 0.337 0.381  9.976050e-04
Slc31a2        1.074123e-07 -0.2961545 0.346 0.376  1.204951e-03
Smap2          1.451481e-07 -0.2774413 0.318 0.361  1.628271e-03
Trim47         1.479111e-07 -0.3086464 0.252 0.310  1.659267e-03
ND3            1.663979e-07 -0.3026990 0.344 0.380  1.866651e-03
Ap1b1          4.826421e-07 -0.3175154 0.316 0.344  5.414279e-03
Plk2           5.375472e-07 -0.2934448 0.378 0.398  6.030204e-03
Grap           7.787454e-07 -0.2807706 0.300 0.339  8.735966e-03
P2rx4          1.704263e-06 -0.3267059 0.209 0.259  1.911843e-02
Fscn1          1.903647e-06 -0.2636106 0.291 0.337  2.135512e-02
Rgs3           1.942708e-06 -0.2805457 0.311 0.344  2.179330e-02
Plin2          2.617113e-06 -0.2602529 0.310 0.347  2.935877e-02
Ifi204         2.697144e-06 -0.3007280 0.242 0.291  3.025657e-02
Trappc5        4.363002e-06 -0.2758483 0.266 0.307  4.894416e-02
Pcdh12         5.128822e-06 -0.3040127 0.271 0.303  5.753513e-02
Arglu1         5.504968e-06 -0.2909577 0.356 0.370  6.175473e-02
Strn4          9.150122e-06 -0.3076182 0.251 0.286  1.026461e-01
Arhgef15       1.029882e-05 -0.2550321 0.355 0.370  1.155321e-01
Arhgap23       1.187437e-05 -0.2885580 0.257 0.294  1.332067e-01
Bok            1.591241e-05 -0.2885861 0.218 0.262  1.785055e-01
Plod1          1.611634e-05 -0.2980686 0.253 0.288  1.807931e-01
Sipa1          2.312850e-05 -0.2540411 0.346 0.355  2.594555e-01
Ncoa3          2.605280e-05 -0.2801280 0.259 0.298  2.922603e-01
Epb41l2        3.443162e-05 -0.2779936 0.324 0.338  3.862539e-01
Stim2          3.235753e-04 -0.2785086 0.230 0.256  1.000000e+00
Fam171a1       7.784084e-04 -0.2628374 0.251 0.270  1.000000e+00
Tmcc2          1.960858e-03 -0.2634781 0.244 0.260  1.000000e+00
